in March 1992 , Linux version 0.95 was the first to be capable of running X . This large version number jump was due to a feeling that a version 1.0 with no major missing pieces was imminent .	pieces	parts	things	features	components	bits	points	elements	details	objects	sections
much of the water carried by these streams is diverted .	diverted	redirected	directed	routed	rerouted	transferred	converted	moved	returned	recycled	used
Harry also becomes the worthy possessor of the remaining deathly Hallows : the invisibility cloak and the Resurrection Stone , hence becoming the true Master of Death .	possessor	owner	holder	keeper	controller	master	user	bearer	inhabitant	member	assessor
Escapologists escape from handcuffs , straitjackets , cages , coffins , steel boxes , barrels , bags , burning buildings , fish-tanks and other perils , often in combination .	perils	hazards	risks	problems	dangers	danger	accidents	pitfalls	damages	dangerous	threats
the storm continued , crossing the Outer Banks of North Carolina , and retained its strength until June 20 when it became extratropical near Newfoundland .	retained	maintained	held	remained		preserved	contained	stored	stayed	kept	hold
the Convent has been the official residence of the Governor of Gibraltar since 1728 .	residence	home	house	place	office	room	base	stay	household	quarters	resident
food is procured with its suckers and then crushed using its tough " beak " of chitin .	procured	prepared	made	produced	cured	cooked	processed	created	gathered	grown	selected
the United States convened a 13-nation conference of the International Opium Commission in 1909 in Shanghai , China in response to increasing criticism of the opium trade .	convened	held	organized	hosted	arranged	gathered	had	organised	led	sponsored	planned
photosynthesis is vital for life on Earth .	vital	essential	important	crucial	critical	very important	necessary	required	useful	key	elementary
Dodd simply retained his athletic director position , which he had acquired in 1950 .	acquired	gained	earned	learned	bought	became	obtained	found	got	won	arrived
Radiometric dating is a technique used to date materials , usually based on a comparison between the observed abundance of a naturally occurring radioactive isotope and its decay products , using known decay rates .	abundance	number	amount	availability	concentration	proportion	supply	price	level	presence	consistency
bacterial contaminants are ubiquitous , and foods left unused too long will often acquire substantial amounts of bacterial colonies and become dangerous to eat , leading to food poisoning .	substantial	significant	considerable	large	important	great	high	very	big	vast	ample
Tibooburra has an arid , desert climate with temperatures soaring above 40 Celsius in summer , often reaching as high as 47 C .	arid	dry	desert	hot	dense	wet	severe	humid	drought	dark	warm
Hanna meandered around the southeastern Bahamas , weakening to a tropical storm while also dumping heavy rain on already-devastated Haiti .	meandered	traveled	moved	passed	ran	meanderered	fled	slid	flew	hung	sailed
with the high Gulf pressures - a ship reported a pressure of 1015.5 millibars less than 60 m from the storm center at the time it was upgraded to a tropical storm - Alicia was unable to gain size , staying very small , but generated faster winds , and became a Category 1 hurricane on August 16	generated	created	produced	caused	produce	made	brought
DAS Rheingold is the first of the four operas that comprise Der Ring des Nibelungen , by Richard Wagner .	comprise	include	compose	represent	comprimise	combine	come together	consist	composed	comprised	enclose
a frenulum is a small fold of tissue that secures or restricts the motion of a mobile organ in the body .	secures	holds	binds	fixes	locks	ties	restricts	protects	keeps	bounds	straps
Helen Hunt has been recognized extensively in her career . in 1998 she become the second actress to win a Golden Globe Award , an Academy Award and an Emmy Award in the same year .	career	life	careers	profession	professional	work	story	lifetime	professional life	cause	role
when Wotan refuses to abandon his " free hero " , Fricka lays bare his self-deception : Siegmund is in no sense independent since his fate has been pre-ordained by Wotan , who has even indirectly led him to find the magic sword .	refuses	rejects		remains	continues	refuse	fails	struggles	disagrees	rejected	forgets
the storm never approached land during its lifespan , and no damage or casualties were reported .	casualties	accidents	injuries	incidents	killings	deaths	damages	death	losses	hits	attacks
